sector,scenario,trend_window,year,imports_mtco2e,exports_mtco2e,net_imports_mtco2e,observed_or_projected
C23,Observed history,Observed,2022,51.412,29.483,21.929,Observed
C23,Long-run (2008–2022),2008–2022,2022,51.412,29.483,21.929,Observed baseline
C23,Long-run (2008–2022),2008–2022,2023,53.57184136660769,29.677947205336704,23.89389416127099,Projected
C23,Long-run (2008–2022),2008–2022,2024,55.82241864562709,29.874183438685094,25.948235206941995,Projected
C23,Long-run (2008–2022),2008–2022,2025,58.167543693766014,30.07171722334363,28.095826470422384,Projected
C23,Long-run (2008–2022),2008–2022,2026,60.61118850555618,30.27055713896845,30.34063136658773,Projected
C23,Long-run (2008–2022),2008–2022,2027,63.157491940815596,30.47071182194599,32.686780118869606,Projected
C23,Long-run (2008–2022),2008–2022,2028,65.81076673473464,30.672189965768137,35.1385767689665,Projected
C23,Long-run (2008–2022),2008–2022,2029,68.5755068024591,30.87500032140979,37.70050648104932,Projected
C23,Long-run (2008–2022),2008–2022,2030,71.45639485054201,31.079151697708973,40.37724315283304,Projected
C23,Middle-period (2013–2022),2013–2022,2022,51.412,29.483,21.929,Observed baseline
C23,Middle-period (2013–2022),2013–2022,2023,55.405771637712924,29.516661165577773,25.88911047213515,Projected
C23,Middle-period (2013–2022),2013–2022,2024,59.709786251660965,29.55036076259291,30.159425489068056,Projected
C23,Middle-period (2013–2022),2013–2022,2025,64.34814404411767,29.584098834923154,34.76404520919452,Projected
C23,Middle-period (2013–2022),2013–2022,2026,69.34681736207578,29.61787542649631,39.72894193557947,Projected
C23,Middle-period (2013–2022),2013–2022,2027,74.7337961286345,29.651690581290364,45.08210554734413,Projected
C23,Middle-period (2013–2022),2013–2022,2028,80.53924457174426,29.685544343333493,50.85370022841077,Projected
C23,Middle-period (2013–2022),2013–2022,2029,86.79567012790734,29.71943675670415,57.07623337120319,Projected
C23,Middle-period (2013–2022),2013–2022,2030,93.53810546660499,29.75336786553112,63.78473760107387,Projected
C23,Recent (2018–2022),2018–2022,2022,51.412,29.483,21.929,Observed baseline
C23,Recent (2018–2022),2018–2022,2023,56.077134648059754,29.6980291481923,26.379105499867453,Projected
C23,Recent (2018–2022),2018–2022,2024,61.165584500440055,29.914626574191217,31.250957926248837,Projected
C23,Recent (2018–2022),2018–2022,2025,66.715761259209,30.13280371595899,36.58295754325002,Projected
C23,Recent (2018–2022),2018–2022,2026,72.76956211157847,30.352572094878653,42.41699001669981,Projected
C23,Recent (2018–2022),2018–2022,2027,79.37268600348816,30.57394331636247,48.79874268712568,Projected
C23,Recent (2018–2022),2018–2022,2028,86.574978611915,30.79692907046474,55.77804954145026,Projected
C23,Recent (2018–2022),2018–2022,2029,94.43080862003522,31.02154113249916,63.40926748753606,Projected
C23,Recent (2018–2022),2018–2022,2030,102.99947813566634,31.24779136366063,71.75168677200571,Projected
