sector,year,production_eur,product_rows,confidential_product_rows,estimated_or_revised_rows,ppi_2020,production_million_2020_eur,domestic_emissions_mt,extra_eu_import_million_2020_eur,extra_eu_embodied_import_carbon_mtco2e,production_million_2020_eur_yoy_pct,production_million_2020_eur_index_2008_100,domestic_emissions_mt_yoy_pct,domestic_emissions_mt_index_2008_100,extra_eu_import_million_2020_eur_yoy_pct,extra_eu_import_million_2020_eur_index_2008_100,extra_eu_embodied_import_carbon_mtco2e_yoy_pct,extra_eu_embodied_import_carbon_mtco2e_index_2008_100
C19,2010,341327922.0,1.0,0.0,0.0,116.51272809191259,292.9533344466357,145.58922532,278112.1064698623,90.199,-3.9933753381848347,124.2206481300718,-1.451277126594952,93.90630062040498,-1.1841766005303844,87.64395857451284,19.522698963771767,88.3636862368604
C19,2011,423861758.0,1.0,0.0,0.0,141.67605316512729,299.1767123170616,144.52615103,279598.56599270547,110.14,2.1243580934763084,126.85953952239171,-0.730187476211519,93.22060857390125,0.534482134456904,88.11239987502442,22.107783900043245,107.89893903621777
C19,2012,409422942.0,1.0,0.0,0.0,154.21266050912362,265.49243145686955,140.60800912,278648.75798614504,96.058,-11.258991583707923,112.57643464443498,-2.7110262620822834,90.69337339378986,-0.3397041766606268,87.81307837249305,-12.785545669148346,94.1034709092156
C19,2013,365431115.0,1.0,0.0,0.0,146.37305699481868,249.65736352212383,136.78741039,272488.99189368763,102.047,-5.964414069302082,105.86190993778364,-2.717198510889496,88.22905440245835,-2.2105844422115384,85.87189612376369,6.234774823544087,99.97061042154452
C19,2014,353327787.0,1.0,0.0,0.0,137.41833746339267,257.1183682775409,134.01737330999998,260031.26529596825,92.648,2.9884977755746833,109.02559076145519,-2.025067271982306,86.4423566973747,-4.571827474990187,81.94598118348244,-9.21046184601213,90.76285549144274
C19,2015,338983390.0,1.0,0.0,0.0,110.7456634377112,306.0917958116355,138.1133566,261071.12555411493,83.808,19.047035753288256,129.79173401402332,3.0563076926791277,89.08430109484969,0.39989816492378427,82.27368165846397,-9.541490372161288,82.10272637322807
C19,2016,330037759.0,1.0,0.0,0.0,98.29916647893671,335.7482782630915,134.66290721000001,254441.8259365446,84.132,9.688754438131419,142.36693640363472,-2.4982735015217084,86.85873160658124,-2.5392695586307634,80.18453110534583,0.3865979381443285,82.42013382054724
C19,2017,463150492.0,1.0,0.0,0.0,111.81572426222124,414.2087305304724,133.95344519,263192.61066942214,90.041,23.368832350615797,175.63642709450792,-0.5268429404198471,86.40112251097375,3.4392084322881322,82.94224426051157,7.023486901535669,88.20890112366155
C19,2018,572436433.0,1.0,0.0,0.0,127.87790042802432,447.64297121236683,130.11569282,268498.7934899107,97.359,8.071833888936997,189.81350773804056,-2.8649896720136736,83.92573927453046,2.016083508952815,84.6144291690031,8.127408624959731,95.37799896156822
C19,2019,556452070.0,1.0,0.0,0.0,125.94052714575355,441.8371771272695,130.50681659,259274.8453691294,92.598,-1.2969697858481455,187.35168389321964,0.3005969238015549,84.17801746506743,-3.4353778655351386,81.70760379828226,-4.890148830616581,90.7138728606836
C19,2020,382507812.0,1.0,0.0,0.0,100.0,382.507812,119.75536113999999,221371.283999,80.646,-13.427879816048149,162.19432494669567,-8.238232860875582,77.24323636862664,-14.619066233041666,69.76271508158011,-12.907406207477479,79.00506480402049
C19,2021,500000000.0,1.0,0.0,0.0,135.17684163099796,369.8858428464295,119.91615336000001,269396.57073559205,100.994,-3.299793823183539,156.84224663055036,0.13426724154090852,77.34694873137572,21.694451904073063,84.89735375192903,25.23125759492102,98.93903621775718
C19,2022,1000000000.0,1.0,0.0,0.0,210.01351655778328,476.15982837221776,122.97573122,342857.7130075685,133.485,28.7315634218289,201.90547619342826,2.551430957608214,79.3204027260734,27.26877408698616,108.04782135237201,32.1712180921639,130.76892933765689
C20,2008,362547639353.0,534.0,0.0,0.0,96.06299212598425,377406.1491625492,199.66489651999999,131749.61783667243,126.203,,100.0,,100.0,,100.0,,100.0
C20,2009,301775103033.0,534.0,0.0,0.0,90.89141635073393,332017.1641604782,170.18907140000002,132614.41063697645,95.458,-12.026562127508388,87.97343787249162,-14.762647632979109,85.23735236702089,0.656391126216449,100.65639112621645,-24.36154449577269,75.63845550422731
C20,2010,344823650059.0,533.0,0.0,0.0,95.62554680664917,360597.8335017722,176.28185334999998,144111.08260620566,107.695,8.608190306534791,95.54635882375683,3.5800077524836604,88.28885618977206,8.669247869826613,109.38254316977034,12.81925035093967,85.33473847689832
C20,2011,385406972276.0,533.0,0.0,0.0,104.65636239914453,368259.47648181434,173.55761574000002,143079.09545974806,111.215,2.124705771424029,97.57643782407071,-1.5453874339470985,86.92445130063969,-0.7161053319386879,108.59924894592147,3.2684897163285376,88.12389562847159
C20,2012,400529309977.0,535.0,0.0,0.0,107.30047632934769,373278.2217551549,168.48538235,146930.79452060937,102.935,1.36282854722094,98.90623737409844,-2.9225069544620452,84.38407816625052,2.6920068571057554,111.52274817431103,-7.445038888639122,81.56303732874812
C20,2013,393110594291.0,536.0,0.0,0.0,106.68805288227855,368467.3060110723,161.58534866,146471.38169542656,97.31,-1.2888284029702213,97.63150569451192,-4.09533076030677,80.92827105630677,-0.31267293332328805,111.17404672627167,-5.464613591101175,77.10593250556643
C20,2014,388358056817.0,536.0,0.0,0.0,104.97715563332362,369945.30331294367,157.24386571000002,153691.60608606008,105.181,0.4011203376146799,98.02312551977204,-2.686804828533751,78.75388636191704,4.929443763729413,116.65430883950549,8.088582879457395,83.34270976125765
C20,2015,381011535515.0,534.0,0.0,0.0,100.63186546126177,378619.17173906544,156.56900806,174208.81721262407,88.955,2.344635368646486,100.32141039016133,-0.4291789997357687,78.41589122017592,13.349597710024131,132.2271897809886,-15.426740571015674,70.48564614153388
C20,2016,368584549364.0,536.0,0.0,0.0,97.2100709633518,379162.92593074683,156.27531019999998,181718.36678332047,85.728,0.14361507083326952,100.4654870547541,-0.1875836499439676,78.26879582928902,4.31065986834116,137.92705418591297,-3.6276769152942534,67.92865462786145
C20,2017,398095070418.0,531.0,0.0,0.0,101.6622922134733,391585.7706435233,161.00952728000001,182747.36980513227,96.057,3.276386973299572,103.75712518527804,3.029408211662621,80.63987715731095,0.5662625303246127,138.70808341294833,12.048572228443465,76.11308764450925
C20,2018,403211243982.0,531.0,0.0,0.0,105.13269174686496,383526.03484445997,156.57643421999998,184012.6522797085,106.693,-2.058229997943528,101.62156490971081,-2.7533110213352585,78.4196105319475,0.69236699599311,139.66845240327422,11.072592314979634,84.5407795377289
C20,2019,398987384569.0,573.0,0.0,0.0,104.58831534947022,381483.7089935219,148.72907554,197784.7097763058,97.737,-0.5325129627161584,101.0804169036516,-5.011838926523227,74.48934596527945,7.484299218546697,150.12165729504875,-8.394177687383431,77.44427628503284
