prodcom_code,sector,product_label,cn8_codes,official_units,n_cn8_codes,all_cn8_unique_to_product,quantity_years,quantity_valid_years,quantity_units,confidential_flag_years,label_variants,one_cn_or_grouped_cn8,official_kg_unit,annual_kg_stable,complete_15y_quantity,no_confidential_quantity_flags,eligible_strict_match,cn8_codes_joined,official_units_joined
20134390,C20,Other carbonates,[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20135110,C20,"Manganites, manganates and permanganates; molybdates; tungstates (wolframates)",[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20135125,C20,Chromates and dichromates; peroxochromates,"['28413000', '28415000']",['KG'],2,True,15,15,['KG'],0,1,True,True,True,True,True,True,28413000|28415000,KG
20135175,C20,"Salts of oxometallic and peroxometallic acids (excluding chromates, dichromates, peroxochromates, manganites, manganates, permanganates, molybdates, tungstates)",[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20135183,C20,Silver nitrate,['28432100'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28432100,KG
20135185,C20,Colloidal precious metals; compounds and amalgams of precious metals (excluding silver nitrate),"['28431010', '28431090', '28432900', '28433000', '28439010', '28439090']",['KG'],6,True,15,15,['KG'],0,1,True,True,True,True,True,True,28431010|28431090|28432900|28433000|28439010|28439090,KG
20135250,C20,Distilled and conductivity water and water of similar purity,['28539010'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28539010,KG
20135270,C20,"Compounds, inorganic or organic, of mercury, chemically defined as mercury (excluding amalgams)",['28521000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28521000,KG
20135290,C20,"Other inorganic compounds n.e.c.; amalgams (excluding distilled and conductivity water and water of similar purity, liquid air and compressed air, those of precious metals)","['28531000', '28539090']",['KG'],2,False,15,15,['KG'],0,1,False,True,True,True,True,False,28531000|28539090,KG
20136100,C20,Heavy water (deuterium oxide); isotopes and their compounds (excluding radioactive and the fissile or fertile chemical isotopes),"['28451000', '28452000', '28453000', '28454000', '28459010', '28459090']",['KG'],6,True,14,14,['KG'],0,1,True,True,True,False,True,False,28451000|28452000|28453000|28454000|28459010|28459090,KG
20136220,C20,Cyanides; cyanide oxides and complex cyanides,"['28371100', '28371900', '28372000']",['KG'],3,True,15,15,['KG'],0,1,True,True,True,True,True,True,28371100|28371900|28372000,KG
20136230,C20,Borates; peroxoborates (perborates),"['28401100', '28401910', '28401990', '28402010', '28402090', '28403000']",['KG_B2O3'],6,True,15,15,['KG_B2O3'],0,1,True,False,False,True,True,False,28401100|28401910|28401990|28402010|28402090|28403000,KG_B2O3
20136240,C20,Silicates; commercial alkali metal silicates,"['28391100', '28391900', '28399000']",['KG_SIO2'],3,True,15,15,['KG_SIO2'],0,1,True,False,False,True,True,False,28391100|28391900|28399000,KG_SIO2
20136270,C20,Double or complex silicates,['28421000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28421000,KG
20136280,C20,Salts of inorganic acids or peroxoacids (excluding azides and double or complex silicates),"['28429010', '28429080']",['KG'],2,True,15,15,['KG'],0,1,True,True,True,True,True,True,28429010|28429080,KG
20136300,C20,Hydrogen peroxide,['28470000'],['KG_H2O2'],1,True,15,15,['KG_H2O2'],0,1,True,False,False,True,True,False,28470000,KG_H2O2
20136450,C20,Carbides whether or not chemically defined,[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20136480,C20,"Phosphides (excluding ferrophosphorus), whether or not chemically defined; hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 20.13.64.50","['28500020', '28500060', '28500090', '28539090']",['KG'],4,False,15,15,['KG'],0,1,False,True,True,True,True,False,28500020|28500060|28500090|28539090,KG
20136500,C20,"Compounds of rare-earth metals, of yttrium or of scandium or mixtures of these metals",[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20136600,C20,"Sulphur (excluding crude, sublimed, precipitated and colloidal)",['25030090'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,25030090,KG
20136700,C20,Roasted iron pyrites,['26012000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,26012000,KG
20136800,C20,"Synthetic or reconstructed precious or semi-precious stones, unworked or simply sawn or roughly shaped","['71041000', '71042100', '71042900']",['G'],3,True,15,15,['G'],0,1,True,False,False,True,True,False,71041000|71042100|71042900,G
20141120,C20,Saturated acyclic hydrocarbons,['29011000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29011000,KG
20141130,C20,Ethylene,['29012100'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29012100,KG
20141140,C20,Propene (propylene),['29012200'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29012200,KG
20141150,C20,Butene (butylene) and isomers thereof,['29012300'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29012300,KG
20141165,C20,Unsaturated acyclic hydrocarbons; buta-1.3-diene,[],[],0,,1,1,['KG'],0,1,False,False,True,False,True,False,,
20141167,C20,Unsaturated acyclic hydrocarbons; Isoprene,[],[],0,,1,1,['KG'],0,1,False,False,True,False,True,False,,
20141190,C20,"Unsaturated acyclic hydrocarbons (excluding ethylene, propene, butene, buta-1,3-diene and isoprene)",['29012900'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29012900,KG
20141213,C20,Cyclohexane,['29021100'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29021100,KG
20141215,C20,Cyclanes; cyclenes and cycloterpenes (excluding cyclohexane),['29021900'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29021900,KG
20141223,C20,Benzene,['29022000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29022000,KG
20141225,C20,Toluene,['29023000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29023000,KG
20141243,C20,o-Xylene,['29024100'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29024100,KG
20141245,C20,p-Xylene,['29024300'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29024300,KG
20141247,C20,m-Xylene and mixed xylene isomers,"['29024200', '29024400']",['KG'],2,True,15,15,['KG'],0,1,True,True,True,True,True,True,29024200|29024400,KG
20141250,C20,Styrene,['29025000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29025000,KG
20141260,C20,Ethylbenzene,['29026000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29026000,KG
