cn8_code,year,extra_eu_import_quantity_100kg
72192210,2010,112312.95
72192210,2011,96359.69
72192210,2012,93309.64
72192210,2013,133646.22
72192210,2014,191892.23
72192210,2015,221305.76
72192210,2016,229875.68
72192210,2017,315041.12
72192210,2018,375636.92
72192210,2019,387891.69
72192210,2020,182670.88
72192210,2021,211620.44
72192210,2022,191439.14
72192290,2008,7641.36
72192290,2009,7659.0
72192290,2010,11282.28
72192290,2011,26605.63
72192290,2012,25111.91
72192290,2013,43833.01
72192290,2014,35803.96
72192290,2015,62657.39
72192290,2016,74607.59
72192290,2017,78632.21
72192290,2018,76797.29
72192290,2019,76523.77
72192290,2020,59039.16
72192290,2021,87674.92
72192290,2022,82855.47
72192300,2008,32546.96
72192300,2009,31717.78
72192300,2010,37317.67
72192300,2011,40661.05
72192300,2012,42048.94
72192300,2013,63001.65
72192300,2014,92522.16
72192300,2015,120598.59
72192300,2016,94707.71
72192300,2017,121858.39
72192300,2018,143453.4
72192300,2019,112375.51
72192300,2020,89571.51
72192300,2021,103416.72
72192300,2022,119315.31
72192400,2008,12814.55
72192400,2009,19202.68
72192400,2010,13130.74
72192400,2011,8417.17
72192400,2012,6426.43
72192400,2013,16667.02
72192400,2014,13690.14
72192400,2015,12325.89
72192400,2016,15037.69
72192400,2017,11377.01
72192400,2018,13611.42
72192400,2019,12196.41
72192400,2020,8732.7
72192400,2021,4443.06
72192400,2022,8680.25
72222011,2008,125286.82
72222011,2009,76918.69
72222011,2010,117391.07
72222011,2011,172211.37
72222011,2012,159353.47
72222011,2013,125461.29
72222011,2014,128715.79
72222011,2015,123637.04
72222011,2016,120654.66
72222011,2017,151179.38
72222011,2018,157027.7
72222011,2019,130619.34
72222011,2020,135903.81
72222011,2021,135979.24
72222011,2022,118739.98
72222019,2008,21839.0
72222019,2009,6708.48
72222019,2010,15298.58
72222019,2011,23883.83
72222019,2012,56485.64
72222019,2013,51968.21
72222019,2014,31078.53
72222019,2015,37827.78
72222019,2016,31781.54
72222019,2017,34571.27
72222019,2018,52986.68
72222019,2019,40235.8
72222019,2020,31490.38
72222019,2021,22397.12
72222019,2022,28228.0
72222021,2008,122137.67
72222021,2009,68095.76
72222021,2010,94841.97
72222021,2011,164348.07
72222021,2012,100878.1
72222021,2013,94589.43
72222021,2014,139465.56
72222021,2015,164813.85
72222021,2016,163663.49
72222021,2017,174423.73
72222021,2018,252223.54
72222021,2019,268889.03
72222021,2020,176498.27
72222021,2021,250992.04
72222021,2022,364387.11
72222029,2008,46804.61
72222029,2009,19501.07
72222029,2010,38314.57
72222029,2011,68714.22
72222029,2012,57867.05
72222029,2013,41024.71
72222029,2014,53156.17
72222029,2015,45655.7
72222029,2016,48867.35
72222029,2017,47623.17
72222029,2018,74534.97
72222029,2019,44735.92
72222029,2020,27560.92
72222029,2021,44135.36
72222029,2022,72083.57
72222031,2008,184966.42
72222031,2009,110438.21
72222031,2010,158510.23
72222031,2011,246346.85
72222031,2012,166556.47
72222031,2013,217160.92
72222031,2014,285996.44
72222031,2015,276695.85
