prodcom_code,sector,product_label,year,extra_eu_import_cn8_components,extra_eu_import_components_reported,extra_eu_import_quantity_100kg,extra_eu_import_kg
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2015,3,3,3113106.7600000002,311310676.0
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2016,3,3,3524852.09,352485209.0
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2017,3,3,3263577.7300000004,326357773.00000006
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2018,3,3,3624700.67,362470067.0
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2019,3,3,3575044.64,357504464.0
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2020,3,3,3128931.3899999997,312893138.99999994
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2021,3,3,2323584.48,232358448.0
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2022,3,3,3472886.67,347288667.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2008,2,2,491080.52,49108052.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2009,2,2,457657.0,45765700.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2010,2,2,580413.86,58041386.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2011,2,2,437142.80000000005,43714280.00000001
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2012,2,2,388676.69,38867669.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2013,2,2,359702.64999999997,35970265.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2014,2,2,383004.83,38300483.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2015,2,2,310218.25,31021825.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2016,2,2,303026.42,30302642.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2017,2,2,261952.59,26195259.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2018,2,2,245581.18,24558118.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2019,2,2,209418.56,20941856.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2020,2,2,200065.46,20006546.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2021,2,2,187555.55000000002,18755555.0
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",2022,2,2,222644.46,22264446.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2008,4,4,4268734.26,426873426.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2009,4,4,4288878.64,428887863.99999994
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2010,4,4,4198354.34,419835434.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2011,4,4,3375976.34,337597634.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2012,4,4,3633914.95,363391495.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2013,4,4,3251162.16,325116216.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2014,4,4,2780155.6999999997,278015570.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2015,4,4,2729052.3800000004,272905238.00000006
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2016,4,4,3475794.4,347579440.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2017,4,4,4211687.7,421168770.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2018,4,4,4260787.64,426078763.99999994
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2019,4,4,3985268.6999999997,398526870.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2020,4,4,3756702.65,375670265.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2021,4,4,3381249.06,338124906.0
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",2022,4,4,3704631.8600000003,370463186.00000006
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2008,1,1,114675.24,11467524.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2009,1,1,88270.56,8827056.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2010,1,1,120374.64,12037464.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2011,1,1,124137.47,12413747.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2012,1,1,80040.82,8004082.000000001
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2013,1,1,61239.25,6123925.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2014,1,1,64620.13,6462013.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2015,1,1,113137.27,11313727.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2016,1,1,74207.1,7420710.000000001
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2017,1,1,77041.2,7704120.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2018,1,1,46887.55,4688755.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2019,1,1,63058.11,6305811.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2020,1,1,60626.4,6062640.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2021,1,1,39086.07,3908607.0
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",2022,1,1,74923.27,7492327.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2008,1,1,529553.83,52955382.99999999
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2009,1,1,703779.87,70377987.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2010,1,1,528512.96,52851296.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2011,1,1,612754.14,61275414.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2012,1,1,619885.35,61988535.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2013,1,1,752973.91,75297391.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2014,1,1,795157.52,79515752.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2015,1,1,894576.56,89457656.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2016,1,1,1341853.71,134185371.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2017,1,1,1657254.98,165725498.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2018,1,1,1560367.43,156036743.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2019,1,1,1496446.65,149644665.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2020,1,1,1870465.94,187046594.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2021,1,1,1374690.94,137469094.0
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",2022,1,1,1453581.52,145358152.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2008,1,1,181029.9,18102990.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2009,1,1,125564.34,12556434.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2010,1,1,173172.97,17317297.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2011,1,1,161733.27,16173326.999999998
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2012,1,1,115563.05,11556305.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2013,1,1,122573.56,12257356.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2014,1,1,159848.46,15984846.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2015,1,1,109097.42,10909742.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2016,1,1,99900.83,9990083.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2017,1,1,113245.39,11324539.0
